name,x_min,y_min,x_max,y_max
201711070000000001001.jpg,125,25,317,78
201711070000000002001.jpg,146,25,300,70
201711070000000003001.jpg,108,11,853,103
201711070000000004001.jpg,121,16,410,71
201711070000000005001.jpg,125,11,703,76
201711070000000007005.jpg,133,20,355,75
201711070000000008005.jpg,130,20,599,73
201711070000000009005.jpg,130,21,599,75
201711070000000011005.jpg,125,16,724,76
201711070000000012005.jpg,125,18,293,73
201711070000000013005.jpg,126,15,338,75
201711070000000014005.jpg,125,26,235,76
201711070000000015005.jpg,125,20,425,75
201711070000000016005.jpg,125,26,237,76
201711070000000020005.jpg,110,10,556,71
201711070000000021005.jpg,121,6,599,71
201711070000000022005.jpg,113,10,594,75
201711070000000023005.jpg,125,13,489,73
201711070000000024005.jpg,121,23,624,81
201711070000000025005.jpg,148,21,320,63
201711070000000026005.jpg,153,18,405,66
201711070000000027005.jpg,156,36,215,70
201711070000000027005.jpg,424,38,450,71
201711070000000028005.jpg,145,16,338,70
201711070000000029005.jpg,135,18,634,76
201711070000000030005.jpg,145,13,536,71
201711070000000031005.jpg,143,15,537,78
201711070000000032005.jpg,131,21,385,80
201711070000000033005.jpg,128,18,404,70
201711070000000035005.jpg,145,13,253,58
201711070000000036005.jpg,126,16,514,73
201711070000000037005.jpg,145,16,380,75
201711070000000038005.jpg,135,16,547,75
201711070000000039005.jpg,150,31,387,75
201711070000000040005.jpg,123,11,389,75
201711070000000041005.jpg,128,15,342,73
201711070000000042005.jpg,128,11,469,70
201711070000000043005.jpg,125,13,516,73
201711070000000044005.jpg,128,20,472,73
201711070000000045005.jpg,128,11,422,71
201711070000000046005.jpg,141,13,552,81
201711070000000047001.jpg,126,28,295,75
201711070000000049005.jpg,123,21,238,78
201711070000000051005.jpg,131,18,534,76
201711070000000052005.jpg,130,16,470,76
201711070000000053005.jpg,143,25,510,85
201711070000000054005.jpg,187,10,367,68
201711070000000055005.jpg,185,26,303,86
201711070000000056005.jpg,131,18,444,73
201711070000000057005.jpg,131,20,422,75
201711070000000058005.jpg,145,28,452,81
201711070000000059005.jpg,126,20,449,81
201711070000000060005.jpg,128,18,472,76
201711070000000061005.jpg,128,16,489,75
201711070000000062005.jpg,145,23,616,86
201711070000000069005.jpg,126,23,534,76
201711070000000070005.jpg,128,20,467,70
201711070000000017005.jpg,125,18,450,73
201711070000000034005.jpg,126,13,607,100
201711070000000050005.jpg,130,20,464,73
201711070000000071005.jpg,130,20,382,66
201711070000000089005.jpg,126,26,472,68
201711070000000105005.jpg,133,16,656,75
201711070000000120005.jpg,594,20,644,90
201711070000000120005.jpg,126,25,397,66
201711070000000135005.jpg,125,15,510,76
201711070000000150005.jpg,255,30,402,76
201711070000000165005.jpg,125,6,532,68
201711070000000180005.jpg,146,10,487,70
201711070000000197005.jpg,128,11,380,65
201711070000000218005.jpg,126,18,494,78
201711070000000072005.jpg,130,20,510,71
201711070000000073005.jpg,130,8,574,65
201711070000000074005.jpg,143,18,516,71
201711070000000075005.jpg,131,16,616,75
201711070000000076005.jpg,145,23,512,73
201711070000000077005.jpg,130,20,514,71
201711070000000078005.jpg,143,18,516,70
201711070000000082005.jpg,133,18,293,71
201711070000000083005.jpg,145,18,577,75
201711070000000084005.jpg,133,11,512,73
201711070000000085005.jpg,135,21,248,66
201711070000000086005.jpg,131,15,342,60
201711070000000087005.jpg,143,15,517,61
201711070000000088005.jpg,143,15,345,61
201711070000000090005.jpg,123,20,430,83
201711070000000091005.jpg,143,13,517,61
201711070000000092005.jpg,125,16,724,76
201711070000000093005.jpg,146,16,529,75
201711070000000094005.jpg,121,13,539,71
201711070000000095005.jpg,143,11,345,70
201711070000000096005.jpg,185,28,345,86
201711070000000098005.jpg,187,11,472,73
201711070000000099005.jpg,143,15,365,76
201711070000000100005.jpg,165,20,432,78
201711070000000101005.jpg,230,26,537,68
201711070000000102005.jpg,145,23,579,70
201711070000000103005.jpg,130,13,536,70
201711070000000104005.jpg,125,25,375,55
201711070000000106005.jpg,128,11,557,73
201711070000000107005.jpg,125,11,450,71
201711070000000108005.jpg,126,13,302,71
201711070000000109005.jpg,143,13,345,78
201711070000000110005.jpg,128,15,490,71
201711070000000111005.jpg,126,23,332,53
201711070000000112005.jpg,131,10,574,71
201711070000000113005.jpg,131,15,300,73
201711070000000114005.jpg,146,25,509,73
201711070000000115005.jpg,295,26,380,73
201711070000000116005.jpg,128,23,510,73
201711070000000117005.jpg,145,21,661,70
201711070000000118005.jpg,125,16,512,75
201711070000000119005.jpg,128,18,429,75
201711070000000121005.jpg,145,21,427,76
201711070000000122005.jpg,128,26,405,68
201711070000000123005.jpg,143,16,280,70
201711070000000124005.jpg,145,23,432,65
201711070000000125005.jpg,146,25,445,66
201711070000000126005.jpg,145,18,384,81
201711070000000127005.jpg,165,16,432,60
201711070000000128005.jpg,178,28,397,70
201711070000000129005.jpg,126,11,556,75
201711070000000130005.jpg,128,28,450,71
201711070000000131005.jpg,131,25,420,75
201711070000000132005.jpg,126,18,350,48
201711070000000133005.jpg,202,6,601,91
201711070000000134005.jpg,125,10,559,76
201711070000000136005.jpg,125,16,465,76
201711070000000137005.jpg,126,18,430,71
201711070000000138005.jpg,128,15,487,75
201711070000000139005.jpg,125,18,362,76
201711070000000140005.jpg,126,15,409,75
201711070000000141005.jpg,130,16,679,75
201711070000000142005.jpg,141,16,474,85
201711070000000142005.jpg,677,43,794,95
201711070000000143005.jpg,128,13,445,76
201711070000000144005.jpg,131,15,509,76
201711070000000145005.jpg,123,28,238,81
201711070000000146005.jpg,128,16,551,78
201711070000000147005.jpg,143,15,517,75
201711070000000148005.jpg,145,36,439,70
201711070000000149005.jpg,485,51,539,103
201711070000000151005.jpg,131,16,531,75
201711070000000152005.jpg,123,25,404,80
201711070000000153005.jpg,133,13,509,71
201711070000000154005.jpg,293,25,345,78
201711070000000155005.jpg,127,26,554,57
201711070000000156005.jpg,130,16,297,73
201711070000000157005.jpg,163,23,402,95
201711070000000158005.jpg,130,18,232,63
201711070000000159005.jpg,131,16,470,75
201711070000000160005.jpg,146,23,766,68
201711070000000161005.jpg,133,15,465,68
201711070000000162005.jpg,130,16,404,65
201711070000000163005.jpg,121,5,347,73
201711070000000164005.jpg,126,21,407,75
201711070000000166005.jpg,135,13,439,48
201711070000000167005.jpg,141,10,559,70
201711070000000168005.jpg,230,15,427,80
201711070000000169005.jpg,163,23,240,83
201711070000000170005.jpg,126,23,344,81
201711070000000171005.jpg,143,25,432,83
201711070000000172005.jpg,106,18,384,66
201711070000000173005.jpg,128,20,315,75
201711070000000174005.jpg,128,16,703,75
201711070000000175005.jpg,293,16,345,60
201711070000000176005.jpg,130,20,514,76
201711070000000177005.jpg,146,20,445,76
201711070000000178005.jpg,128,18,599,73
201711070000000179005.jpg,125,26,407,83
201711070000000181005.jpg,126,16,529,80
201711070000000182005.jpg,143,18,539,88
201711070000000183005.jpg,125,18,467,73
201711070000000184005.jpg,123,20,619,83
201711070000000185005.jpg,145,13,576,68
201711070000000186005.jpg,126,16,405,78
201711070000000187005.jpg,131,10,364,70
201711070000000188005.jpg,128,18,551,78
201711070000000189005.jpg,125,20,621,78
201711070000000190005.jpg,126,18,490,80
201711070000000191005.jpg,123,13,277,66
201711070000000192005.jpg,126,11,599,71
201711070000000195005.jpg,121,8,644,73
201711070000000196005.jpg,121,18,303,78
201711070000000198005.jpg,128,16,407,75
